model,model_type,feature,coef,p_value,odds_ratio
Model1A_課程屬性模型,Logit近似MNL_regularized,const,-10.747575287038194,,2.1497470368364437e-05
Model1A_課程屬性模型,Logit近似MNL_regularized,性別編,-1.2240493306469164e-08,,0.9999999877595068
Model1A_課程屬性模型,Logit近似MNL_regularized,晚上,-3.366462518789288,,0.0345115054654284
Model1A_課程屬性模型,Logit近似MNL_regularized,線上,-8.32072128814586,,0.0002434202247673
Model1A_課程屬性模型,Logit近似MNL_regularized,5000以上,-0.961264912790436,,0.3824088660523069
Model1A_課程屬性模型,Logit近似MNL_regularized,4000-5000,-15.334494228897537,,2.1893428319490494e-07
Model1A_課程屬性模型,Logit近似MNL_regularized,3000-4000,6.894211777382941,,986.5477989773144
Model1A_課程屬性模型,Logit近似MNL_regularized,證照,13.817893627135456,,1002385.9109374464
Model1A_課程屬性模型,Logit近似MNL_regularized,實務,-3.6119735607451,,0.0269985110513396
Model1A_課程屬性模型,Logit近似MNL_regularized,語言,-4.810157990419162,,0.0081465725155949
Model1A_課程屬性模型,Logit近似MNL_regularized,數位,-4.176788503615979,,0.0153477176451565
Model1A_課程屬性模型,Logit近似MNL_regularized,稅務,-5.087877642288288,,0.0061711032870815
Model1A_課程屬性模型,Logit近似MNL_regularized,一週兩次,5.102004978063482,,164.3510975252818
Model1A_課程屬性模型,Logit近似MNL_regularized,職稱_學生,-6.679323159130638e-07,,0.9999993320679073
Model1A_課程屬性模型,Logit近似MNL_regularized,職稱_教育,-2.346075554930195e-06,,0.9999976539271972
Model1A_課程屬性模型,Logit近似MNL_regularized,職稱_業務,-2.047734422368942e-07,,0.9999997952265788
Model1A_課程屬性模型,Logit近似MNL_regularized,職稱_管理,3.943406431901034e-07,,1.000000394340721
Model1A_課程屬性模型,Logit近似MNL_regularized,職稱_行政,4.355933184374893e-08,,1.0000000435593328
Model1A_課程屬性模型,Logit近似MNL_regularized,職稱_財會,-1.2563410148824644e-06,,0.9999987436597744
