學員ID,推薦課程ID,預測報名機率,推薦原因
38211,2,0.38996622,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38243,2,0.62093896,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38274,2,0.64178187,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38292,2,0.36253557,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38465,2,0.5946547,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38595,2,0.10218299,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38664,2,0.20977262,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38677,2,0.05230114,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38685,2,0.2221478,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38697,2,0.18901102,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38699,2,0.36150506,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38703,2,0.32733858,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38705,2,0.3138242,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38706,2,0.32733858,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38708,2,0.30146924,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38711,2,0.32982856,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38712,2,0.32982856,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38714,2,0.4729533,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38721,2,0.6553259,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38723,2,0.32982856,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38724,2,0.17580947,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38732,2,0.32982856,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38739,2,0.6553259,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38740,2,0.9373708,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38756,2,0.32982856,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78517,2,0.5908323,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78691,2,0.2536796,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78725,2,0.32982856,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78742,2,0.13169192,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78743,2,0.32982856,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78747,2,0.38802433,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78748,2,0.107626654,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78753,2,0.32982856,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78764,2,0.3341139,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78767,2,0.14416148,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78768,2,0.2648111,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78795,2,0.58478177,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78796,2,0.41003767,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78816,2,0.32982856,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78837,2,0.34110722,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78842,2,0.46237063,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78873,2,0.21716477,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78949,2,0.6553259,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78979,2,0.32733858,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
79001,2,0.2762256,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
79013,2,0.5908323,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
79014,2,0.0920381,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
79031,2,0.32982856,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
79042,2,0.1686605,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
79048,2,0.25902355,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
79105,2,0.113361225,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
79117,2,0.62093896,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
79131,2,0.9392337,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
88177,1,0.69150436,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88256,1,0.26102734,證照特徵符合高報名樣態；性別編特徵符合高報名樣態
88387,1,0.577231,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88667,1,0.5974365,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88679,1,0.724315,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88738,1,0.61272496,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88741,1,0.07282112,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88750,1,0.45983186,證照特徵符合高報名樣態；性別編特徵符合高報名樣態
88771,1,0.5974365,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88794,1,0.71387744,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88798,1,0.48030007,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88809,1,0.7871554,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88892,1,0.9459586,證照特徵符合高報名樣態；性別編特徵符合高報名樣態
88894,1,0.6420782,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88905,1,0.60828114,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88955,1,0.08092784,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88988,1,0.5974365,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88999,1,0.42267358,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89039,1,0.46423337,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89043,1,0.39523214,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89059,1,0.36356178,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89076,1,0.42839184,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89077,1,0.36356178,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89078,1,0.71387744,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89079,1,0.5974365,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89088,1,0.04570213,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89089,1,0.7108681,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89106,1,0.5590713,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89118,1,0.7108681,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89125,1,0.8332108,證照特徵符合高報名樣態；性別編特徵符合高報名樣態
89128,1,0.7921441,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89129,1,0.40514302,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89135,1,0.096172005,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89151,1,0.13945448,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89161,1,0.34024394,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89174,1,0.048282687,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89181,1,0.21790032,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89194,1,0.08973544,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89203,1,0.9499393,證照特徵符合高報名樣態；性別編特徵符合高報名樣態
89204,1,0.42267358,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89240,1,0.5974365,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89245,1,0.2378364,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
