學員ID,推薦課程ID,預測報名機率,推薦原因
38211,2,0.38996622,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38211,7,0.0023620967,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38211,8,0.0023615956,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38243,2,0.62093896,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38243,7,0.0019340817,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38243,8,0.0019336712,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38274,2,0.64178187,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38274,7,0.001399791,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38274,8,0.0013994937,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38292,2,0.36253557,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38292,7,0.0021858073,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38292,8,0.0021853433,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38465,2,0.5946547,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38465,7,0.0015480365,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
38465,8,0.0015477077,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
38595,2,0.10218299,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38595,7,0.0011581387,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38595,8,0.0011578928,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38664,2,0.20977262,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38664,7,0.0026832293,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
38664,8,0.0026826602,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
38677,2,0.05230114,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38677,4,0.002069355,4000-5000特徵符合高報名樣態；性別編特徵符合高報名樣態
38677,5,0.002069355,4000-5000特徵符合高報名樣態；性別編特徵符合高報名樣態
38685,2,0.2221478,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38685,7,0.0016888404,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38685,8,0.0016884819,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38697,2,0.18901102,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38697,7,0.005467488,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
38697,8,0.0054663313,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
38699,2,0.36150506,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38699,7,0.0030231662,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
38699,8,0.0030225252,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
38703,2,0.32733858,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38703,7,0.0021764974,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38703,8,0.0021760354,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38705,2,0.3138242,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38705,7,0.0027922993,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
38705,8,0.0027917072,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
38706,2,0.32733858,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38706,7,0.0021764974,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38706,8,0.0021760354,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38708,2,0.30146924,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38708,4,0.0014678471,4000-5000特徵符合高報名樣態；對國貿實務有興趣
38708,5,0.0014678471,4000-5000特徵符合高報名樣態；對國貿實務有興趣
38711,2,0.32982856,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38711,7,0.0016875924,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38711,8,0.0016872342,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38712,2,0.32982856,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38712,7,0.0016875924,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38712,8,0.0016872342,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38714,2,0.4729533,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38714,4,0.0020319305,4000-5000特徵符合高報名樣態
38714,5,0.0020319305,4000-5000特徵符合高報名樣態
38721,2,0.6553259,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38721,7,0.0022131822,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38721,8,0.0022127125,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38723,2,0.32982856,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38723,7,0.0016875924,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38723,8,0.0016872342,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38724,2,0.17580947,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38724,4,0.00094337383,4000-5000特徵符合高報名樣態；對國貿實務有興趣
38724,5,0.00094337383,4000-5000特徵符合高報名樣態；對國貿實務有興趣
38732,2,0.32982856,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38732,7,0.0016875924,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38732,8,0.0016872342,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38739,2,0.6553259,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38739,7,0.0022131822,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38739,8,0.0022127125,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38740,2,0.9373708,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38740,7,0.0049680783,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38740,8,0.004967027,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38756,2,0.32982856,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
38756,7,0.0016875924,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
38756,8,0.0016872342,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78517,2,0.5908323,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78517,7,0.0021589058,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78517,8,0.0021584476,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78691,2,0.2536796,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78691,4,0.0024649373,4000-5000特徵符合高報名樣態；對國貿實務有興趣
78691,5,0.0024649373,4000-5000特徵符合高報名樣態；對國貿實務有興趣
78725,2,0.32982856,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78725,7,0.0016875924,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78725,8,0.0016872342,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78742,2,0.13169192,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78742,4,0.0024436994,4000-5000特徵符合高報名樣態
78742,5,0.0024436994,4000-5000特徵符合高報名樣態
78743,2,0.32982856,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78743,7,0.0016875924,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78743,8,0.0016872342,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78747,2,0.38802433,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78747,7,0.0018649874,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78747,8,0.0018645915,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78748,2,0.107626654,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78748,4,0.0022661476,4000-5000特徵符合高報名樣態
78748,5,0.0022661476,4000-5000特徵符合高報名樣態
78753,2,0.32982856,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78753,7,0.0016875924,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78753,8,0.0016872342,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78764,2,0.3341139,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78764,7,0.001821888,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78764,8,0.0018215013,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78767,2,0.14416148,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78767,4,0.002603912,4000-5000特徵符合高報名樣態
78767,5,0.002603912,4000-5000特徵符合高報名樣態
78768,2,0.2648111,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78768,7,0.0029794474,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
78768,8,0.0029788157,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
78795,2,0.58478177,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78795,7,0.004462803,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
78795,8,0.004461858,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
78796,2,0.41003767,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78796,7,0.0006918919,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78796,8,0.00069174485,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78816,2,0.32982856,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78816,7,0.0016875924,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78816,8,0.0016872342,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78837,2,0.34110722,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78837,7,0.003365317,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
78837,8,0.0033646037,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
78842,2,0.46237063,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78842,7,0.0022220926,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78842,8,0.0022216209,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78873,2,0.21716477,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78873,7,0.0055178315,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
78873,8,0.0055166646,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
78949,2,0.6553259,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78949,7,0.0022131822,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78949,8,0.0022127125,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78979,2,0.32733858,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
78979,7,0.0021764974,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
78979,8,0.0021760354,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
79001,2,0.2762256,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
79001,4,0.0026045064,4000-5000特徵符合高報名樣態；對國貿實務有興趣
79001,5,0.0026045064,4000-5000特徵符合高報名樣態；對國貿實務有興趣
79013,2,0.5908323,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
79013,7,0.0021589058,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
79013,8,0.0021584476,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
79014,2,0.0920381,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
79014,4,0.0023722856,4000-5000特徵符合高報名樣態
79014,5,0.0023722856,4000-5000特徵符合高報名樣態
79031,2,0.32982856,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
79031,7,0.0016875924,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
79031,8,0.0016872342,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
79042,2,0.1686605,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
79042,7,0.0021871845,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
79042,8,0.0021867205,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
79048,2,0.25902355,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
79048,7,0.007542785,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
79048,8,0.007541193,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
79105,2,0.113361225,證照特徵符合高報名樣態；該課程類型在模型中屬高潛力
79105,4,0.0014253238,4000-5000特徵符合高報名樣態；對國貿實務有興趣
79105,5,0.0014253238,4000-5000特徵符合高報名樣態；對國貿實務有興趣
