feature,importance,model
證照,0.38404676,XGBoost_1A_屬性模型
4000-5000,0.19236818,XGBoost_1A_屬性模型
晚上,0.12692584,XGBoost_1A_屬性模型
數位,0.07203179,XGBoost_1A_屬性模型
白天,0.033528943,XGBoost_1A_屬性模型
興趣_國際市場,0.020366155,XGBoost_1A_屬性模型
實體,0.014591172,XGBoost_1A_屬性模型
興趣_會員免費課程,0.010872234,XGBoost_1A_屬性模型
5000以上,0.010451963,XGBoost_1A_屬性模型
興趣_線上課程(影片),0.010228035,XGBoost_1A_屬性模型
線上,0.009761108,XGBoost_1A_屬性模型
職稱_管理,0.009739543,XGBoost_1A_屬性模型
性別編,0.008773941,XGBoost_1A_屬性模型
興趣_企業管理,0.008514423,XGBoost_1A_屬性模型
興趣_產業趨勢動態,0.0075507457,XGBoost_1A_屬性模型
興趣_財務會計,0.007469708,XGBoost_1A_屬性模型
興趣_網路電商,0.0068088714,XGBoost_1A_屬性模型
興趣_線上課程(直播),0.0065022437,XGBoost_1A_屬性模型
興趣_創意與服務,0.0060205716,XGBoost_1A_屬性模型
職稱_運務,0.0059773508,XGBoost_1A_屬性模型
職稱_業務,0.0059169843,XGBoost_1A_屬性模型
興趣_國貿實務,0.0056778924,XGBoost_1A_屬性模型
3000-4000,0.0053884992,XGBoost_1A_屬性模型
職稱_行政,0.005313773,XGBoost_1A_屬性模型
興趣_專業證照,0.0051826267,XGBoost_1A_屬性模型
興趣_高階策略,0.0047973506,XGBoost_1A_屬性模型
興趣_商業語文,0.0042740563,XGBoost_1A_屬性模型
興趣_中國大陸市場,0.0036908267,XGBoost_1A_屬性模型
職稱_財會,0.0036547824,XGBoost_1A_屬性模型
興趣_商業談判與溝通,0.0035736426,XGBoost_1A_屬性模型
一週一次,0.0,XGBoost_1A_屬性模型
職稱_非在職,0.0,XGBoost_1A_屬性模型
職稱_學生,0.0,XGBoost_1A_屬性模型
職稱_教育,0.0,XGBoost_1A_屬性模型
實務,0.0,XGBoost_1A_屬性模型
語言,0.0,XGBoost_1A_屬性模型
稅務,0.0,XGBoost_1A_屬性模型
一週兩次,0.0,XGBoost_1A_屬性模型
興趣_幸福人生,0.0,XGBoost_1A_屬性模型
4000-5000,0.33982757,XGBoost_1B_課程Dummy模型
證照,0.2147947,XGBoost_1B_課程Dummy模型
課程_8,0.14786334,XGBoost_1B_課程Dummy模型
課程_7,0.12708062,XGBoost_1B_課程Dummy模型
線上,0.020417059,XGBoost_1B_課程Dummy模型
數位,0.02038011,XGBoost_1B_課程Dummy模型
5000以上,0.016660487,XGBoost_1B_課程Dummy模型
興趣_國際市場,0.012316053,XGBoost_1B_課程Dummy模型
實體,0.007702717,XGBoost_1B_課程Dummy模型
興趣_會員免費課程,0.007392157,XGBoost_1B_課程Dummy模型
職稱_管理,0.0070969784,XGBoost_1B_課程Dummy模型
課程_2,0.006800789,XGBoost_1B_課程Dummy模型
興趣_企業管理,0.00555055,XGBoost_1B_課程Dummy模型
性別編,0.005341962,XGBoost_1B_課程Dummy模型
興趣_線上課程(影片),0.0049387584,XGBoost_1B_課程Dummy模型
興趣_網路電商,0.0047690114,XGBoost_1B_課程Dummy模型
興趣_線上課程(直播),0.004525344,XGBoost_1B_課程Dummy模型
職稱_業務,0.004231485,XGBoost_1B_課程Dummy模型
興趣_創意與服務,0.0040095444,XGBoost_1B_課程Dummy模型
興趣_產業趨勢動態,0.003839367,XGBoost_1B_課程Dummy模型
興趣_國貿實務,0.0037881152,XGBoost_1B_課程Dummy模型
興趣_財務會計,0.0036952465,XGBoost_1B_課程Dummy模型
職稱_運務,0.003631762,XGBoost_1B_課程Dummy模型
職稱_行政,0.0033537957,XGBoost_1B_課程Dummy模型
興趣_專業證照,0.0033176101,XGBoost_1B_課程Dummy模型
興趣_商業談判與溝通,0.0031083203,XGBoost_1B_課程Dummy模型
興趣_商業語文,0.003008228,XGBoost_1B_課程Dummy模型
興趣_高階策略,0.0029543666,XGBoost_1B_課程Dummy模型
職稱_財會,0.0026672813,XGBoost_1B_課程Dummy模型
3000-4000,0.0026641942,XGBoost_1B_課程Dummy模型
興趣_中國大陸市場,0.0022725416,XGBoost_1B_課程Dummy模型
白天,0.0,XGBoost_1B_課程Dummy模型
晚上,0.0,XGBoost_1B_課程Dummy模型
課程_6,0.0,XGBoost_1B_課程Dummy模型
課程_3,0.0,XGBoost_1B_課程Dummy模型
課程_4,0.0,XGBoost_1B_課程Dummy模型
課程_5,0.0,XGBoost_1B_課程Dummy模型
一週一次,0.0,XGBoost_1B_課程Dummy模型
職稱_非在職,0.0,XGBoost_1B_課程Dummy模型
職稱_學生,0.0,XGBoost_1B_課程Dummy模型
職稱_教育,0.0,XGBoost_1B_課程Dummy模型
實務,0.0,XGBoost_1B_課程Dummy模型
語言,0.0,XGBoost_1B_課程Dummy模型
稅務,0.0,XGBoost_1B_課程Dummy模型
一週兩次,0.0,XGBoost_1B_課程Dummy模型
興趣_幸福人生,0.0,XGBoost_1B_課程Dummy模型
